Microcredential,Checkpoint,Description,Subtask
Control Systems,Encoders & IMU Hardware,"Differentiate incremental from absolute encoders, explain what an IMU tracks along yaw, pitch, and roll, and read raw sensor values via telemetry.",Differentiate an incremental encoder from an absolute encoder
Control Systems,Encoders & IMU Hardware,,"Explain what an IMU tracks along yaw, pitch, and roll"
Control Systems,Encoders & IMU Hardware,,Read raw encoder or IMU values through telemetry
Programming,Blocks Programming Basics,"Navigate the Blocks programming interface, create a first OpMode, and program a motor and servo to respond to gamepad input with telemetry feedback.",Navigate the Blocks programming interface
Programming,Blocks Programming Basics,,Create a new OpMode
Programming,Blocks Programming Basics,,Program a motor and servo to respond to gamepad input
Programming,Blocks Programming Basics,,Add telemetry to display feedback from the robot
Programming,Gamepad Inputs & Data Types,Identify boolean and float data types output by the gamepad and use telemetry to observe their values in code.,Identify which gamepad inputs output boolean values
Programming,Gamepad Inputs & Data Types,,Identify which gamepad inputs output float values
Programming,Gamepad Inputs & Data Types,,Use telemetry to display a gamepad input's value in real time
Programming,Drive Programming Styles (Tank/Arcade),"Program a drivetrain using both tank drive and arcade style controls, and explain how joystick input translates into drivetrain movement.",Program a drivetrain using tank drive controls
Programming,Drive Programming Styles (Tank/Arcade),,Program a drivetrain using arcade style controls
Programming,Drive Programming Styles (Tank/Arcade),,Explain how joystick input translates to drivetrain motor power
Programming,Variables & Telemetry,"Define what a variable is, use telemetry to observe its value, and optimize a program by replacing hardcoded values with variables.",Define what a variable is and why it is useful in a program
Programming,Variables & Telemetry,,Use telemetry to display a variable's current value
Programming,Variables & Telemetry,,Replace a hardcoded value in a program with a variable
Programming,Pseudocode & Autonomous Programming,Write pseudocode for a robot's program and use it to write a first autonomous OpMode that uses 'sleep' as a basic timer.,Write pseudocode for a robot driving between obstacles
Programming,Pseudocode & Autonomous Programming,,Write a first autonomous OpMode
Programming,Pseudocode & Autonomous Programming,,Use the "sleep" call to time a movement in an autonomous program
Programming,Loops & Nested Loops,"Use loops to reduce repeated code, implement nested loops, and apply exit conditions to control when a loop ends.",Use a loop to replace repeated lines of code
Programming,Loops & Nested Loops,,Implement a nested loop within a program
Programming,Loops & Nested Loops,,Apply an exit condition to control when a loop stops
Programming,Conditional Logic (If/Else),Program if/else logic that responds to a sensor input and trace how a program's flow changes through a conditional branch.,Program if/else logic that responds to a sensor input
Programming,Conditional Logic (If/Else),,Trace how program flow changes through a conditional branch
Programming,Conditional Logic (If/Else),,Test a conditional branch under both true and false conditions
Programming,ElapsedTime & Functions,"Set up a timer using ElapsedTime, explain the difference between Sleep and ElapsedTime, and refactor a program into functions for better organization.",Set up a timer using ElapsedTime
Programming,ElapsedTime & Functions,,Explain the difference between Sleep and ElapsedTime
Programming,ElapsedTime & Functions,,Refactor an existing program to use functions
Programming,Encoder & IMU-Based Navigation,"Program a robot arm to move to a set position using encoders, and program a robot to navigate an autonomous area using IMU orientation data.",Program a robot arm to move to a set encoder position
Programming,Encoder & IMU-Based Navigation,,Program a robot to navigate an autonomous area using IMU orientation data
Programming,Encoder & IMU-Based Navigation,,Verify navigation accuracy through repeated test runs
