Microcredential,Checkpoint,Description,Subtask
MasterCAM,Machine Group Setup – Stock Definition,,Set stock origin relative to the part
MasterCAM,Machine Group Setup – Stock Definition,,Assign correct stock material for speeds and feeds calculations
MasterCAM,Machine Group Setup – Workholding,"Defining workholding strategies and fixture offsets to accurately locate and secure the part on the machine table prior to machining.",Select an appropriate workholding strategy for the part
MasterCAM,Machine Group Setup – Workholding,,Define fixture offsets in the machine group
MasterCAM,Machine Group Setup – Workholding,,Verify workholding does not interfere with toolpaths
MasterCAM,Machine Group Setup – Tool Library,"Building and managing a tool library with cutting tool geometry, speeds, and feeds to support accurate toolpath simulation and correct NC output.",Add cutting tools with correct geometry to the tool library
MasterCAM,Machine Group Setup – Tool Library,,Set speeds and feeds for each tool
MasterCAM,Machine Group Setup – Tool Library,,Verify tool numbers match the physical tool changer or setup sheet
MasterCAM,Dynamic Milling – Contouring & Pocketing,"Applying high-efficiency Dynamic Milling strategies for roughing and pocketing that maximize tool life, reduce heat, and minimize cycle time.",Create a Dynamic Mill toolpath for roughing a pocket
MasterCAM,Dynamic Milling – Contouring & Pocketing,,Adjust stepover and stepdown parameters for tool load
MasterCAM,Dynamic Milling – Contouring & Pocketing,,Simulate the toolpath and verify no gouges or excess material
MasterCAM,Dynamic Milling – Contouring & Pocketing,,Backplot toolpath to check for rapid moves and collisions
MasterCAM,Work Offsets,"Setting and managing work coordinate offsets (G54–G59) to accurately reference the part origin on the machine tool relative to known datum surfaces.",Set the work coordinate system (G54) to the part origin
MasterCAM,Work Offsets,,Verify work offset values against setup sheet
MasterCAM,Work Offsets,,Confirm correct offset is called in the program header
CNC Router/Mill Op,Tool Setup,"Selecting, measuring, and installing cutting tools into holders; setting tool length offsets in the controller; and verifying tool condition before starting a job.",Select correct tool for the operation
CNC Router/Mill Op,Tool Setup,,Measure and enter tool length offset into controller
CNC Router/Mill Op,Tool Setup,,Inspect tool for wear or damage before use
CNC Router/Mill Op,Tool Setup,,Securely install tool into holder or collet
CNC Router/Mill Op,Machine Setup,"Configuring the CNC machine for a job — including squaring the table, mounting workholding, loading the program, and verifying all axes move to expected positions.",Square and clean the machine table before job setup
CNC Router/Mill Op,Machine Setup,,Mount and secure workholding fixtures
CNC Router/Mill Op,Machine Setup,,Load the CNC program into the controller
CNC Router/Mill Op,Machine Setup,,Verify all axes jog to expected positions
CNC Router/Mill Op,Job Setup (Touch Offs / Work Offsets / Fixturing),"Establishing the work coordinate origin by touching off the part datum, entering work offsets (G54–G59), and confirming fixturing securely holds the stock in the correct position.",Touch off part datum to establish work coordinate origin
CNC Router/Mill Op,Job Setup (Touch Offs / Work Offsets / Fixturing),,Enter work offset values (G54–G59) into controller
CNC Router/Mill Op,Job Setup (Touch Offs / Work Offsets / Fixturing),,Confirm fixturing securely holds stock in correct position
CNC Router/Mill Op,Machine Operation,"Running CNC programs safely — including dry runs, feed-hold use, chip management, monitoring cut quality, and making offset adjustments during production.",Perform a dry run or air cut before production run
CNC Router/Mill Op,Machine Operation,,Monitor cut quality and chip evacuation during the run
CNC Router/Mill Op,Machine Operation,,Use feed-hold appropriately to respond to issues
CNC Router/Mill Op,Machine Operation,,Make offset adjustments based on part inspection
CNC Router/Mill Op,Machine Maintenance,"Performing routine machine maintenance including lubrication, chip removal, axis way cleaning, spindle inspection, and identifying issues that require escalation.",Perform daily lubrication per maintenance schedule
CNC Router/Mill Op,Machine Maintenance,,Clean chips from ways and enclosure after use
CNC Router/Mill Op,Machine Maintenance,,Inspect spindle and report unusual noise or vibration
CNC Router/Mill Op,Machine Maintenance,,Log completed maintenance tasks
Cordless Tools,Drill,"Safely operating a cordless drill for boring holes and driving fasteners, including proper bit selection, chuck technique, and appropriate speed and torque settings.",Select correct drill bit for material and hole size
Cordless Tools,Drill,,Set appropriate speed and clutch or torque setting
Cordless Tools,Drill,,Drill a hole square and to correct depth
Cordless Tools,Impact Driver,"Using a cordless impact driver for high-torque fastener driving, including correct hex bit selection and adjusting drive mode to prevent over-driving fasteners.",Select correct hex bit for fastener
Cordless Tools,Impact Driver,,Adjust drive mode to prevent over-driving
Cordless Tools,Impact Driver,,Drive fasteners flush without stripping or damage
Cordless Tools,Jigsaw,"Cutting curves and irregular profiles in wood and thin metal using a cordless jigsaw, including blade selection, orbital settings, and proper workpiece support.",Select correct blade for material being cut
Cordless Tools,Jigsaw,,Set orbital action appropriate to cut type
Cordless Tools,Jigsaw,,Cut a curved or irregular profile to layout line
Cordless Tools,Jigsaw,,Support workpiece to prevent vibration or splintering
Cordless Tools,Angle Grinder,"Safely operating a cordless angle grinder for cutting, grinding, and deburring metal — including guard use, PPE requirements, and correct disc selection.",Select correct disc for cutting or grinding task
Cordless Tools,Angle Grinder,,Install and verify guard is properly positioned
Cordless Tools,Angle Grinder,,Wear required PPE before operating
Cordless Tools,Angle Grinder,,Make a clean cut or deburr an edge without gouging
Cordless Tools,Brad Nailer/Stapler,"Using a pneumatic or cordless brad nailer and stapler for fastening materials in fabrication and assembly, including safe loading, operating, and jam clearing.",Load fasteners correctly into the tool
Cordless Tools,Brad Nailer/Stapler,,Set air pressure or depth for correct fastener seating
Cordless Tools,Brad Nailer/Stapler,,Clear a jam safely following proper procedure
Power Tools,Sliding Compound Miter Saw,"Setting up and operating a sliding compound miter saw for accurate crosscuts, miter cuts, and bevel cuts — including fence setup, blade guard use, and material clamping.",Set fence and blade angle for a specified miter or bevel cut
Power Tools,Sliding Compound Miter Saw,,Clamp material securely before cutting
Power Tools,Sliding Compound Miter Saw,,Make a square crosscut to layout line
Power Tools,Sliding Compound Miter Saw,,Verify blade guard operates properly before use
Power Tools,Table Saw,"Performing safe ripping and crosscutting on the table saw, including fence setup, blade height, splitter use, and proper use of push sticks and featherboards.",Set fence for an accurate rip cut
Power Tools,Table Saw,,Set blade height appropriate to material thickness
Power Tools,Table Saw,,Use push stick or featherboard for safe material feed
Power Tools,Table Saw,,Verify splitter or riving knife is installed and aligned
Power Tools,Circular Saw,"Making freehand and guided cuts with a circular saw, including blade selection, depth setting, proper stance, and use of a straightedge guide.",Select correct blade for material
Power Tools,Circular Saw,,Set cutting depth to material thickness
Power Tools,Circular Saw,,Make a straight guided cut using a straightedge
Power Tools,Drill Press,"Setting up and operating a drill press for precise hole boring at controlled depths and angles, including table adjustment, speed selection, and secure workpiece clamping.",Set correct speed for material and bit size
Power Tools,Drill Press,,Adjust table and set depth stop for hole depth
Power Tools,Drill Press,,Securely clamp workpiece before drilling
Power Tools,Drill Press,,Drill a hole square and on-location
Power Tools,Belt Sander,"Surface finishing and material removal using a belt and bench sander, including grit selection, workpiece control, and dust collection techniques.",Select correct grit belt for the finishing task
Power Tools,Belt Sander,,Maintain even pressure and motion while sanding
Power Tools,Belt Sander,,Use dust collection during operation
Jigs & Fixturing,Work Holding,"Selecting and applying appropriate work-holding strategies — vises, clamps, step blocks, and T-slot hardware — to secure parts safely and consistently during machining operations.",Select appropriate work-holding method for the operation
Jigs & Fixturing,Work Holding,,Secure part using vise, clamps, or T-slot hardware
Jigs & Fixturing,Work Holding,,Verify part is seated and will not shift during machining
Jigs & Fixturing,Clamps & Fixtures,"Designing and using custom fixtures and clamps to locate and hold workpieces precisely and repeatably for improved dimensional consistency across production runs.",Design a simple fixture to locate a repeatable part feature
Jigs & Fixturing,Clamps & Fixtures,,Build and test a custom clamp or fixture
Jigs & Fixturing,Clamps & Fixtures,,Verify fixture produces consistent part positioning across a run
Jigs & Fixturing,Hard Stops,"Setting mechanical hard stops to control travel limits on machine tools, ensuring repeatable positioning without re-indicating the part for each successive operation.",Set a mechanical hard stop to control travel limit
Jigs & Fixturing,Hard Stops,,Verify repeatable positioning without re-indicating
Jigs & Fixturing,Hard Stops,,Adjust hard stop after a setup change
Jigs & Fixturing,Touch Offs,"Setting tool length offsets and work coordinate origins by touching off cutting tools to known reference surfaces or using an electronic tool-length setter.",Touch off a cutting tool to a known reference surface
Jigs & Fixturing,Touch Offs,,Set tool length offset using tool-length setter or manual method
Jigs & Fixturing,Touch Offs,,Verify touch-off accuracy before running program
Manufacturing Practices,Job Management,"Planning and tracking production tasks, managing workflow across operations, and meeting deadlines using job routers and scheduling tools in a manufacturing environment.",Create and follow a job router or production plan
Manufacturing Practices,Job Management,,Track task completion against a schedule
Manufacturing Practices,Job Management,,Communicate status updates to team or instructor
Manufacturing Practices,Just in Time Manufacturing,"Applying JIT principles to minimize raw material and WIP inventory, reduce lead times, and synchronize production output with customer demand.",Identify excess WIP or inventory in a sample process
Manufacturing Practices,Just in Time Manufacturing,,Sequence production to match demand rather than stockpiling
Manufacturing Practices,Just in Time Manufacturing,,Explain how JIT reduces lead time in a given scenario
Manufacturing Practices,Lean Manufacturing,"Identifying and eliminating the eight wastes using lean tools such as 5S, value stream mapping, standardized work, and kaizen events to improve process flow.",Identify examples of the eight wastes in the shop
Manufacturing Practices,Lean Manufacturing,,Apply 5S to organize a workstation
Manufacturing Practices,Lean Manufacturing,,Participate in or propose a kaizen improvement
Manufacturing Practices,Lean Manufacturing,,Create a simple value stream map for a process
Manufacturing Practices,Quality Control/Inspection,"Applying measurement tools — calipers, micrometers, and gauges — and inspection methods to verify that parts conform to drawing specifications and tolerances.",Measure a part using calipers or micrometer
Manufacturing Practices,Quality Control/Inspection,,Compare measurements against drawing tolerances
Manufacturing Practices,Quality Control/Inspection,,Document inspection results and pass/fail determination
Manufacturing Practices,Quality Control/Inspection,,Identify and flag a non-conforming part
Manufacturing Practices,Reading Technical Drawings,"Interpreting orthographic projections, dimensions, tolerances, surface finish symbols, GD&T callouts, and title block information on engineering drawings.",Identify orthographic views and their relationships
Manufacturing Practices,Reading Technical Drawings,,Interpret dimensions, tolerances, and surface finish symbols
Manufacturing Practices,Reading Technical Drawings,,Read GD&T callouts on a drawing
Manufacturing Practices,Reading Technical Drawings,,Locate title block information (scale, material, revision)
Building & Assembling,Component Layout & Organization,"Sorting, identifying, and staging all required parts, hardware, and sub-assemblies before beginning assembly to ensure efficient workflow and prevent errors.",Sort and identify all required parts and hardware before assembly
Building & Assembling,Component Layout & Organization,,Stage components in assembly order
Building & Assembling,Component Layout & Organization,,Verify all parts are present against a bill of materials
Building & Assembling,Assembly Sequencing,"Determining and following the correct order of assembly operations to ensure proper fit, clearances, and tool access throughout the build process.",Determine correct order of operations for an assembly
Building & Assembling,Assembly Sequencing,,Follow assembly sequence to ensure fit and tool access
Building & Assembling,Assembly Sequencing,,Verify each sub-assembly before proceeding to the next step
Technical Theatre,Hanging Lights,"Safely hanging and positioning stage lighting instruments on battens, electrics, and pipes using C-clamps, safety cables, and proper rigging techniques.",Select correct C-clamp and hardware for the batten or pipe
Technical Theatre,Hanging Lights,,Attach safety cable per house standards
Technical Theatre,Hanging Lights,,Hang fixture at correct position on the electric
Technical Theatre,Hanging Lights,,Verify fixture is secure before power is applied
Technical Theatre,Setting Lights,"Focusing and adjusting lighting instruments — including pan, tilt, zoom, barrel rotation, and shutter cuts — to achieve the intended stage illumination and throw distance.",Focus fixture pan and tilt to intended stage position
Technical Theatre,Setting Lights,,Adjust zoom or barrel rotation for correct beam spread
Technical Theatre,Setting Lights,,Set shutter cuts to control spill
Technical Theatre,Patching Lights,"Connecting stage lighting instruments to dimmer circuits and programming DMX patch assignments in a lighting console to establish individual fixture control.",Connect fixture to correct dimmer circuit
Technical Theatre,Patching Lights,,Program DMX address or patch assignment in console
Technical Theatre,Patching Lights,,Verify fixture responds correctly to console control
Technical Theatre,Lighting Design,"Developing a lighting design including plot creation, instrument selection, color and gobo choices, channel assignments, and cue sequence programming to support a production's visual storytelling.",Create a light plot showing instrument positions and types
Technical Theatre,Lighting Design,,Select colors and gobos to support the design concept
Technical Theatre,Lighting Design,,Assign channels and build a basic cue sequence
Technical Theatre,Lighting Design,,Run a cue-to-cue to verify design intent on stage
Technical Theatre,Patching Microphones,"Connecting and routing microphones through a mixing console, including signal flow, gain staging, phantom power management, and cable organization for live sound applications.",Connect microphone to correct input on mixing console
Technical Theatre,Patching Microphones,,Set gain staging and enable phantom power if required
Technical Theatre,Patching Microphones,,Organize and label cable runs
Technical Theatre,Setting Levels,"Balancing channel fader levels, gain structure, and output bus levels on a mixing console during soundcheck and live performance to achieve a clean well-balanced mix.",Set channel fader levels during soundcheck
Technical Theatre,Setting Levels,,Balance gain structure across multiple inputs
Technical Theatre,Setting Levels,,Adjust output bus levels for a clean, balanced mix
Technical Theatre,EQ Basics,"Applying parametric and graphic equalization to shape frequency response, remove problem frequencies, reduce feedback, and improve clarity in live sound reinforcement.",Identify and cut a problem frequency causing feedback
Technical Theatre,EQ Basics,,Apply EQ to improve clarity of a vocal or instrument channel
Technical Theatre,EQ Basics,,Compare graphic vs. parametric EQ use cases
Technical Theatre,Elevations,"Reading and drafting scaled scenic elevations — front-view drawings showing dimensions, materials, and construction details — that communicate build intent to the shop crew.",Read a scaled scenic elevation drawing
Technical Theatre,Elevations,,Draft a basic elevation showing dimensions and materials
Technical Theatre,Elevations,,Communicate build intent to shop crew using an elevation
Technical Theatre,Framing,"Building structural frames for flats, platforms, and other scenic units using standard lumber dimensions, lap joints, butt joints, and appropriate fasteners.",Cut lumber to correct dimensions for a frame
Technical Theatre,Framing,,Assemble a frame using lap or butt joints
Technical Theatre,Framing,,Fasten frame members securely and square
Technical Theatre,Standard Scenic Components (Flats, Platforms, etc.),"Identifying and constructing standard scenic units including Hollywood flats, Broadway flats, hard-covered platforms, and stair units used in theatrical production.",Identify a Hollywood flat vs. a Broadway flat
Technical Theatre,Standard Scenic Components (Flats, Platforms, etc.),,Build a hard-covered platform to specification
Technical Theatre,Standard Scenic Components (Flats, Platforms, etc.),,Construct a basic stair unit
Technical Theatre,Scenic Painting,"Applying ground coats, lay-in coats, and finish techniques — including texture, faux finishes, and scenic effects — to achieve realistic or stylized visual finishes for the stage.",Apply an even ground coat to a scenic piece
Technical Theatre,Scenic Painting,,Apply a lay-in base coat
Technical Theatre,Scenic Painting,,Add a texture or faux finish technique
Technical Theatre,Scenic Painting,,Achieve a finish that reads correctly from house distance
OSHA 10,Introduction to OSHA & Workers' Rights,"Understanding OSHA's mission, the General Duty Clause, employee rights to a safe workplace, the inspection process, and how to file a complaint without fear of retaliation.",Explain the General Duty Clause and employer responsibilities
OSHA 10,Introduction to OSHA & Workers' Rights,,Identify employee rights under OSHA
OSHA 10,Introduction to OSHA & Workers' Rights,,Describe the process for filing a safety complaint
OSHA 10,Walking & Working Surfaces / Fall Protection,"Identifying slip, trip, and fall hazards on walking and working surfaces and applying controls including guardrails, personal fall arrest systems, and proper housekeeping practices.",Identify slip, trip, and fall hazards in the shop
OSHA 10,Walking & Working Surfaces / Fall Protection,,Select and use guardrails or fall arrest systems as needed
OSHA 10,Walking & Working Surfaces / Fall Protection,,Maintain housekeeping standards to reduce fall hazards
OSHA 10,Electrical Safety,"Recognizing electrical hazards such as exposed conductors, overloaded circuits, and improper grounding — and applying safe work practices including LOTO/TAGOUT procedures.",Identify electrical hazards such as exposed conductors or overloaded circuits
OSHA 10,Electrical Safety,,Apply lockout/tagout procedure before electrical work
OSHA 10,Electrical Safety,,Verify equipment is properly grounded before use
OSHA 10,Hazard Communication (HazCom / GHS),"Reading and interpreting Safety Data Sheets (SDS), GHS-compliant container labels, and pictograms to understand chemical hazards and required safe handling procedures.",Locate and read a Safety Data Sheet (SDS) for a shop chemical
OSHA 10,Hazard Communication (HazCom / GHS),,Interpret GHS pictograms and container labels
OSHA 10,Hazard Communication (HazCom / GHS),,Explain required handling procedures for a hazardous material
OSHA 10,Personal Protective Equipment (PPE),"Selecting, fitting, and caring for appropriate PPE including eye and face protection, hearing protection, hard hats, gloves, and respiratory protection matched to specific hazards.",Select correct PPE for a given task or hazard
OSHA 10,Personal Protective Equipment (PPE),,Properly fit and wear eye, hearing, and hand protection
OSHA 10,Personal Protective Equipment (PPE),,Inspect PPE for damage before use
OSHA 10,Machine Guarding,"Identifying machine hazards including point-of-operation dangers, in-running nip points, and rotating parts — and applying safeguarding methods such as fixed guards and interlocks.",Identify point-of-operation and nip-point hazards on a machine
OSHA 10,Machine Guarding,,Verify fixed guards are in place before operating equipment
OSHA 10,Machine Guarding,,Report a missing or defeated machine guard
OSHA 10,Lockout/Tagout (LOTO),"Following the six-step energy control procedure to isolate and de-energize machinery before maintenance or servicing to prevent unexpected startup and release of stored energy.",Follow the six-step energy control procedure before servicing equipment
OSHA 10,Lockout/Tagout (LOTO),,Apply personal lock and tag to an isolated energy source
OSHA 10,Lockout/Tagout (LOTO),,Verify zero energy state before beginning work
OSHA 10,Lockout/Tagout (LOTO),,Remove lock/tag and restore equipment safely after service
OSHA 10,Fire Safety & Emergency Action Plans,"Identifying fire hazard classes, understanding extinguisher selection and the PASS technique, and following emergency action and evacuation plan procedures.",Identify fire classes and select correct extinguisher type
OSHA 10,Fire Safety & Emergency Action Plans,,Demonstrate the PASS technique
OSHA 10,Fire Safety & Emergency Action Plans,,Follow the emergency action or evacuation plan for the shop
