Microcredential,Checkpoint,Description,Subtask
Direct to Film,Machine Maintenance and Setup,,,Check ink levels in all channels
Direct to Film,Machine Maintenance and Setup,,,Inspect film path and clear any jams
Direct to Film,RasterLink 7 Print Setup and Operation,"Configure RasterLink 7 RIP software for DTF output.",Import artwork and set print size
Direct to Film,RasterLink 7 Print Setup and Operation,,,Select correct DTF media profile
Direct to Film,RasterLink 7 Print Setup and Operation,,,Configure print resolution and pass count
Direct to Film,RasterLink 7 Print Setup and Operation,,,Send job to printer queue and monitor output
Direct to Film,Heater/Shaker Setup Operation and Maintenance,"Operate the powder adhesive heater and shaker at correct temperatures.",Set heater to correct temperature for adhesive
Direct to Film,Heater/Shaker Setup Operation and Maintenance,,,Set shaker speed for even powder distribution
Direct to Film,Heater/Shaker Setup Operation and Maintenance,,,Verify full powder melt before collecting sheets
Direct to Film,Heat Press Setup Operation and Maintenance,"Set heat press time, temperature, and pressure for different garment types.",Calibrate temperature with heat probe
Direct to Film,Heat Press Setup Operation and Maintenance,,,Set correct pressure for garment and transfer type
Direct to Film,Heat Press Setup Operation and Maintenance,,,Verify platen surface is clean and level
Direct to Film,Heat Press Laser Alignment Setup & Utilization,"Use laser alignment tools to position transfers accurately.",Calibrate laser alignment to press center
Direct to Film,Heat Press Laser Alignment Setup & Utilization,,,Mark standard placement positions for common garment sizes
Direct to Film,DTF Transfer Application,"Apply cured DTF transfers to garments using correct heat and pressure parameters.",Pre-press garment to remove moisture and wrinkles
Direct to Film,DTF Transfer Application,,,Position transfer using laser alignment
Direct to Film,DTF Transfer Application,,,Apply heat press at correct time and temperature
Direct to Film,DTF Transfer Application,,,Peel at correct temperature (hot or cold peel)
Direct to Film,DTF Transfer Application,,,Post-press for final adhesion
Digital Signmaking & Printing,Design for Digital Signmaking & Printing,"Create artwork sized and colored correctly for wide-format output.",
Digital Signmaking & Printing,Media & Substrate Management,"Select, load, and handle print media correctly.",Load roll media and align to feed guides
Digital Signmaking & Printing,Media & Substrate Management,,,Set correct media width and margins in printer software
Digital Signmaking & Printing,Media & Substrate Management,,,Run media feed test before print job
Digital Signmaking & Printing,RasterLink 7 Print/Cut Setup and Operation,"Configure RasterLink 7 for print-only, cut-only, and print-then-cut workflows.",
Digital Signmaking & Printing,Solvent Printer Setup Operation and Maintenance,"Operate the solvent printer through daily startup and maintenance.",Perform daily startup sequence
Digital Signmaking & Printing,Solvent Printer Setup Operation and Maintenance,,,Run nozzle check and clean heads if needed
Digital Signmaking & Printing,Solvent Printer Setup Operation and Maintenance,,,Log maintenance in machine service record
Digital Signmaking & Printing,Media Application,"Apply printed media to surfaces cleanly and without defects.",Clean application surface
Digital Signmaking & Printing,Media Application,,,Apply transfer tape and squeegee air out
Digital Signmaking & Printing,Media Application,,,Position and apply to surface with squeegee
Digital Signmaking & Printing,Media Application,,,Remove backing and post-heat if required
Digital Signmaking & Printing,Design for Banners Signs & More,"Apply design principles for signage and branded environment applications.",
Logistics & Operations,Client Communication,"Interact professionally with clients from initial inquiry through job completion.",Record job specifications on intake form
Logistics & Operations,Client Communication,,,Provide written quote or invoice
Logistics & Operations,Client Communication,,,Send order confirmation with expected timeline
Logistics & Operations,Client Communication,,,Follow up after delivery to confirm satisfaction
Logistics & Operations,Procurement Shipping & Receiving,"Source materials from vendors and accurately receive incoming goods.",
Logistics & Operations,Quality Control,"Inspect finished products against established standards before they leave the shop.",Compare finished product to order specifications
Logistics & Operations,Quality Control,,,Check print quality, registration, and color accuracy
Logistics & Operations,Quality Control,,,Document any defects and determine disposition
Logistics & Operations,Outgoing Packaging & Shipping,"Package finished orders safely and professionally.",Fold or hang garments per customer preference
Logistics & Operations,Outgoing Packaging & Shipping,,,Package to prevent damage in transit
Logistics & Operations,Outgoing Packaging & Shipping,,,Generate and attach shipping label
Logistics & Operations,Project Management,"Coordinate tasks, timelines, and resources across a job from intake through completion.",
Marketing & Advertisement,Market Research,"Identify target audiences, analyze competitors, and gather insights.",
Marketing & Advertisement,Product Photography,"Capture clean, well-lit product images suitable for marketing use.",Set up clean background and lighting
Marketing & Advertisement,Product Photography,,,Shoot multiple angles per product
Marketing & Advertisement,Product Photography,,,Edit images for brightness, color, and cropping
Marketing & Advertisement,Product Photography,,,Export at correct resolution for each use case
Marketing & Advertisement,Physical & Digital Marketing Design,"Design cohesive promotional materials for print and digital channels.",
Storefront & Enterprise,Operate School-Based Enterprise,"Run day-to-day business operations in the school store.",Complete opening checklist
Storefront & Enterprise,Operate School-Based Enterprise,,,Assign roles to team members for the shift
Storefront & Enterprise,Operate School-Based Enterprise,,,Complete closing checklist and secure premises
Storefront & Enterprise,Inventory Management,"Track stock levels, record incoming and outgoing goods, and flag low inventory.",Conduct physical inventory count
Storefront & Enterprise,Inventory Management,,,Update inventory records with incoming stock
Storefront & Enterprise,Inventory Management,,,Flag items below reorder threshold
Storefront & Enterprise,Point of Sale,"Process customer transactions accurately using point-of-sale software.",Open register and verify starting cash
Storefront & Enterprise,Point of Sale,,,Process a standard sale transaction
Storefront & Enterprise,Point of Sale,,,Handle a return or exchange correctly
Storefront & Enterprise,Point of Sale,,,Reconcile end-of-day sales with register total
Storefront & Enterprise,Bookkeeping,"Record financial transactions, track income and expenses, and maintain accurate books.",Record all transactions in ledger or software
Storefront & Enterprise,Bookkeeping,,,Reconcile weekly income and expense totals
Storefront & Enterprise,Bookkeeping,,,Generate a basic income statement
